Algoritme,Mapa,Trobat,Longitud,NodesGenerats,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,786,154,570,281,11
DFS,mapA,YES,17,96,19,22,129,1
IDS,mapA,YES,5,884,711,713,59,9
A* Basica,mapA,YES,5,276,52,169,163,15
A* Avancada,mapA,YES,5,36,7,4,58,1
BFS,mapB,YES,31,460,183,276,187,2
DFS,mapB,YES,33,187,78,90,116,1
IDS,mapB,YES,31,15865,8892,9846,195,42
A* Basica,mapB,YES,31,381,153,223,166,6
A* Avancada,mapB,YES,31,325,125,188,150,3
BFS,mapC,YES,37,65577,13113,51940,14162,103
DFS,mapC,YES,50,40454,9322,32166,2569,69
IDS,mapC,YES,37,3645905,2930656,2921685,12454,2132
A* Basica,mapC,YES,37,55855,11171,43800,12950,87
A* Avancada,mapC,YES,37,30773,6120,23710,8022,61
BFS,mapD,YES,79,817252,113818,702218,116251,1209
DFS,mapD,NO),-,5081676,743584,4379626,82483,5977
IDS,mapD,NO),-,61817334,53286903,53272767,80551,69012
A* Basica,mapD,YES,79,757588,105382,650904,108006,3363
A* Avancada,mapD,YES,79,530853,73580,452978,82191,2299
